Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
2002,Regular Season,Osaka Kintetsu Buffaloes,44,"Johnson, Mike",P,9,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13315115
2002,Regular Season,Yakult Swallows,58,"Hodges, Kevin",P,33,75,69,0.145,0.145,0.261,0.406,2,5,10,6,2,0,2,18,0,0,0,0,35,1,0,6,0,13515113
2002,Regular Season,Chiba Lotte Marines,6,"Hatsushiba, Kiyoshi",3B,125,451,403,0.223,0.295,0.387,0.682,38,55,90,58,15,0,17,156,0,1,38,1,96,11,5,0,5,13813868
2002,Regular Season,Fukuoka Daiei Hawks,13,"Suzuki, Taira",P,12,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15013868
2002,Regular Season,Yakult Swallows,2,"Iida, Tetsuya",CF,33,60,58,0.190,0.200,0.207,0.407,8,2,11,10,1,0,0,12,1,1,1,0,14,2,0,0,1,15213868
2002,Japan Series,Seibu Lions,8,"Suzuki, Ken",3B,1,,1,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,1,,,,,15313868
2002,Regular Season,Seibu Lions,8,"Suzuki, Ken",3B,65,190,172,0.238,0.295,0.390,0.685,21,27,41,26,9,1,5,67,0,2,14,3,31,4,1,0,3,15313868
2002,Regular Season,Yomiuri Giants,30,"Takeda, Kazuhiro",P,7,7,7,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,21023866
2002,Regular Season,Osaka Kintetsu Buffaloes,0,"Masuda, Daisuke",PH,45,55,53,0.208,0.236,0.245,0.481,3,1,11,9,2,0,0,13,0,1,2,1,12,1,0,0,0,21023882
2002,Regular Season,Osaka Kintetsu Buffaloes,39,"Igarashi, Akihito",PH,27,52,50,0.140,0.157,0.220,0.377,3,2,7,5,1,0,1,11,0,0,0,0,11,0,1,1,0,21023883
2002,Regular Season,Osaka Kintetsu Buffaloes,28,"Maekawa, Katsuhiko",P,22,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21023884
2002,Regular Season,Osaka Kintetsu Buffaloes,5,"Nakamura, Norihiro",3B,140,602,511,0.294,0.400,0.597,0.997,87,115,150,80,27,1,42,305,2,1,86,10,136,10,5,0,0,21023885
2002,Regular Season,Hanshin Tigers,41,"Hesaka, Toshiyuki",P,9,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21023888
2002,Regular Season,Hanshin Tigers,4,"Yabu, Keiichi",P,20,50,37,0.135,0.179,0.189,0.368,2,4,5,3,2,0,0,7,0,0,2,0,13,0,0,11,0,21023889
2002,Regular Season,Chiba Lotte Marines,52,"Heiuchi, Hisao",SS,17,31,26,0.115,0.179,0.231,0.410,2,4,3,2,0,0,1,6,0,2,2,1,9,0,0,3,0,21025111
2002,Regular Season,Fukuoka Daiei Hawks,48,"Nakamura, Koichi",PH,3,4,4,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21025113
2002,Regular Season,Chunichi Dragons,3,"Tatsunami, Kazuyoshi",3B,137,562,506,0.302,0.364,0.472,0.836,62,92,153,101,34,2,16,239,4,9,45,3,55,10,6,1,4,21123866
2002,Regular Season,Chunichi Dragons,58,"Onishi, Takayuki",LF,115,247,215,0.307,0.374,0.419,0.793,30,23,66,49,12,3,2,90,9,2,17,1,36,5,6,9,0,21123880
