Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Hanshin Tigers,47,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705155"">Kirishiki, Takuma</a>",P,43,0.818,1,8,2,0,,01705155
2025,Regular Season,Tokyo Yakult Swallows,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=01805136"">Miyamoto, Takeshi</a>",1B,1,1.000,1,0,0,0,,01805136
2025,Regular Season,Tokyo Yakult Swallows,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=01805136"">Miyamoto, Takeshi</a>",2B,1,1.000,0,2,0,0,,01805136
2025,Regular Season,Tokyo Yakult Swallows,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=01805136"">Miyamoto, Takeshi</a>",OF,14,1.000,18,1,0,0,,01805136
2025,Regular Season,Tohoku Rakuten Golden Eagles,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01805151"">Mutoh, Atsuki</a>",OF,57,0.975,77,1,2,1,,01805151
2025,Regular Season,Chiba Lotte Marines,66,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905134"">Sawada, Keisuke</a>",P,29,0.000,0,0,0,0,,01905134
2025,Regular Season,Chunichi Dragons,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905136"">Shimizu, Tatsuya</a>",P,55,1.000,1,6,0,1,,01905136
2025,Regular Season,Tohoku Rakuten Golden Eagles,56,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905138"">Suzuki, Sora</a>",P,46,1.000,0,6,0,0,,01905138
2025,Climax Series - First Stage,Yokohama DeNA Baystars,59,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905139"">Taira, Kentaro</a>",P,1,0.000,0,0,0,0,,01905139
2025,Regular Season,Yokohama DeNA Baystars,59,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905139"">Taira, Kentaro</a>",P,12,1.000,3,8,0,0,,01905139
2025,Regular Season,Tohoku Rakuten Golden Eagles,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905151"">Kurokawa, Fumiya</a>",1B,40,0.994,159,8,1,10,,01905151
2025,Regular Season,Tohoku Rakuten Golden Eagles,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905151"">Kurokawa, Fumiya</a>",2B,65,0.989,105,156,3,33,,01905151
2025,Regular Season,Tohoku Rakuten Golden Eagles,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01905151"">Kurokawa, Fumiya</a>",3B,9,1.000,3,7,0,1,,01905151
2025,Regular Season,Tohoku Rakuten Golden Eagles,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=03005150"">Voit, Luke</a>",1B,24,0.995,171,11,1,14,,03005150
