Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1962,Regular Season,Mainichi Daiei Orions,16,"Mihira, Haruki",0,1,,,,13,25.0,0.000,5.040,1.520,6.480,1.385,9.720,1.080,5.040,3.960,1.273,116,27,18,14,3,14,11,,1,0,0,0,0,0,2,3,51253806
1962,Regular Season,Chunichi Dragons,14,"Bando, Eiji",2,9,,,,28,88.2,0.182,4.250,1.241,4.466,1.571,8.628,1.015,5.684,2.538,2.240,364,85,44,42,10,56,25,,3,3,0,2,1,0,13,8,51253808
1962,Regular Season,Chunichi Dragons,16,"Takenaka, Atsushi",0,0,,,,7,11.1,0.000,5.250,1.147,5.559,1.000,9.529,0.794,1.588,0.794,2.000,50,12,7,7,1,2,1,,1,0,0,0,0,0,0,3,51253825
1962,Regular Season,Chunichi Dragons,45,"Kakimoto, Minoru",20,17,,,,60,318.1,0.541,2.060,0.930,2.516,1.483,7.436,0.452,4.439,0.933,4.758,1240,263,89,73,16,157,33,,15,0,1,16,3,5,40,13,51353821
1962,Regular Season,Mainichi Daiei Orions,34,"Ikebe, Takenori",0,0,,,,1,3.0,0.000,0.000,1.333,0.000,0.000,6.000,0.000,3.000,6.000,0.500,11,2,0,0,0,1,2,,0,0,0,0,0,0,0,1,51353825
1962,Regular Season,Hanshin Tigers,11,"Murayama, Minoru",25,14,,,,57,366.1,0.641,1.200,0.863,1.523,1.088,6.412,0.418,6.510,1.351,4.818,1386,261,62,49,17,265,55,,5,1,0,23,6,7,38,18,51453808
1962,Regular Season,Taiyo Whales,22,"Wako, Terumoto",0,0,,,,5,4.1,0.000,9.000,1.615,10.385,1.000,14.538,0.000,0.000,0.000,,20,7,5,5,0,0,0,,0,0,0,0,0,0,0,1,51453821
1962,Regular Season,Hanshin Tigers,34,"Maki, Katsuhiko",4,7,,,,30,69.1,0.364,3.600,1.154,3.764,0.967,7.659,1.168,8.308,2.726,3.048,284,59,29,28,9,64,21,,0,3,0,0,0,0,8,9,51453823
1962,Regular Season,Mainichi Daiei Orions,63,"Miura, Masayoshi",0,1,,,,19,43.0,0.000,2.090,1.000,3.140,0.789,6.907,0.628,4.605,2.093,2.200,170,33,15,10,3,22,10,,2,1,0,0,0,0,2,3,51653805
1962,Regular Season,Yomiuri Giants,17,"Yamazaki, Masayuki",0,0,,,,11,17.2,0.000,3.000,1.358,3.057,0.545,9.170,0.509,3.566,3.057,1.167,73,18,6,6,1,7,6,,0,0,0,0,0,0,0,4,51653823
1962,Regular Season,Taiyo Whales,20,"Shimada, Gentaro",6,13,,,,47,147.0,0.316,3.800,1.327,4.592,1.596,8.939,0.673,7.837,3.000,2.612,630,146,75,62,11,128,49,,8,1,0,2,0,0,23,9,51753806
1962,Regular Season,Kokutetsu Swallows,20,"Kitagawa, Yoshio",9,10,,,,37,175.0,0.474,2.210,1.109,2.623,1.378,7.869,0.360,3.806,2.109,1.805,708,153,51,43,7,74,41,,4,2,0,9,5,1,25,2,51753808
1962,Regular Season,Taiyo Whales,18,"Gondo, Masatoshi",8,6,,,,68,195.2,0.571,2.570,1.216,3.036,0.971,7.635,0.230,8.279,3.312,2.500,814,166,66,56,5,180,72,,7,9,1,2,0,0,18,17,51953807
1962,Regular Season,Hankyu Braves,36,"Sasaki, Yukio",0,1,,,,10,28.0,0.000,2.570,1.071,2.571,0.800,6.750,0.000,5.464,2.893,1.889,111,21,8,8,0,17,9,,0,0,0,0,0,0,4,1,51953825
